ccode,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
BE,-1.78393112,-3.74340424,-9.3705306,-19.7333691,-18.3943337,-16.44245782,-15.93283288,-14.27872168,-11.9417873,-10.61151708,-10.9347015,-7.96828765,-1.22615055,-4.338559275,-3.144634825,-4.93399118,-4.85594198
Tokyo,-0.07419512,1.8061765,-1.0691375,-2.55966554,7.34124602,-4.16032172,-1.58190452,-5.66877928,,-15.04984585,-10.89700166,-5.37020282,-8.0043192,-7.17061404,-3.74119796,-0.04857436,-4.91689106
NW,1.61101566,1.97705188,2.03154842,-2.6799563,-0.84190994,-1.4034914,-4.32818122,-3.01182832,-0.8831973,-1.69897332,-3.07913778,-0.64697654,-2.56731564,-0.54583744,-3.16074968,-4.6709478,-4.9195687
NSW,0.89546348,-9.663260975,-11.68146724,-2.63029796,-8.73680698,-3.37760585,-9.866516875,-1.38204356,-6.4653236,-8.503399125,-4.36715576,0.62135938,1.8407115,-5.1323101,4.84308435,2.25090302,-4.9996569
ES,2.11231698,1.29796704,-8.88566882,-14.6059684,-23.65373346,-24.61189897,-15.25278825,-10.64004642,-15.08948877,-15.32818548,-12.9435908,-12.27058864,-8.0255659,-9.77937584,-8.90292528,-8.14826742,-5.1563517
Tohoku,3.04638668,-0.71285508,-1.123296667,2.9154635,-1.84209998,-6.3805627,-2.49257512,2.98630254,,-10.4538791,-6.6765791,-3.27658974,-5.68080294,-4.22522032,-1.07641722,-1.73114146,-5.37400246
EE,4.1370643,3.84904064,-3.18891092,-3.65931792,-6.95423904,-3.557947,-5.916238425,-11.79077226,-3.810080867,-6.78105586,-9.63475168,-13.29933086,-8.47725084,-4.84735734,-5.35985304,-2.86731686,-5.4295568
CZ,3.47971966,4.2927314,-0.97138828,-9.21534712,-11.4403812,-7.68508405,-15.20003123,-14.93455525,-10.1123911,-10.46332987,-10.15039222,-10.43159932,-8.1373495,-9.3294178,-8.99770836,-6.61430636,-5.74650154
PT,12.60516702,2.80307974,-4.19951224,-14.49997522,-14.00751092,-14.29356883,-19.82150018,-9.646948425,-15.55928183,-11.0169551,-15.40048745,-12.73983446,-10.1744069,-8.55628306,-14.8210212,-6.6789744,-5.84178812
SK,3.65528768,0.52489312,-4.3561667,-9.96628372,-17.7573001,-14.92975563,-16.6569522,-15.86095013,-10.9564679,-12.59629237,-9.38880174,-10.61476736,-11.0940319,-8.62819948,-5.58188756,-8.05377682,-5.96227504
Urals,0.25,0.37,-0.34,-1.09,-4.99,-2.83,1.16,-1.6,0.38,-11.34,-6.28,-7.45,-9.08,-10.54,-6.07,-10.54,-6.07
Europe,0.416251647,1.309635024,-5.195128624,-8.713930976,-11.55240307,-10.08899005,-13.59458089,-12.52637109,-7.440869757,-9.451275494,-10.947127,-10.2436327,-7.206128014,-6.319616194,-6.898137599,-6.595285952,-6.269768496
FR,2.91258164,2.23354064,-8.64020772,-20.7889332,-17.70850106,-9.98556054,-22.37286548,-7.4857165,-12.83137193,-9.742635433,-16.90245664,-8.6867912,-1.2690434,-5.4550926,-2.74943785,-8.41096806,-6.31291292
Russia,1.052,1.384,-0.772,0.428,-9.466,-8.1,-3.022,-6.986,0.782,-8.93,-7.93,-6.364,-9.75,-11.472,-6.354,-11.472,-6.354
Hokuriku,-0.0492313,-1.7497524,-2.022145633,-2.22331442,-1.22809366,-6.29999248,-4.79409776,-6.51948922,,-24.55444055,-14.51337928,-5.6960294,-7.2632711,-9.91584274,-11.23479282,-8.33282054,-6.5266132
MIDW,-3.12893276,-2.85056338,-5.92351618,-7.64149764,-10.78838182,-9.09018236,-7.40785172,-6.74965088,-12.81238598,-9.46489754,-6.26830982,-5.71152236,-3.68020938,-5.86113752,-1.69194356,-3.39547652,-6.76780526
LT,0.108309,-0.006308933,-5.26597968,-9.81155442,-10.07007468,-10.47267574,-17.6981598,-12.4116876,-8.0504749,-8.10398688,-12.29671212,-10.51813254,-8.97753342,-8.9955487,-3.1429597,-6.68696588,-6.841477067
GR,-0.436502525,-1.640272575,-8.81319986,-0.779282367,-7.86781356,-12.1938544,-12.0587397,-19.6036747,-4.61530915,-13.25524216,-8.79073382,-7.54476322,-12.61188316,-11.2177173,-11.90242242,-13.6928873,-7.0493644
Chugoku,0.6467605,2.6538561,-2.925201567,-1.72962094,1.18554256,-3.89380794,-0.55930268,-5.6422501,,-19.2602944,-7.05982462,-8.42422624,-8.50992274,-6.69795196,-2.4180445,-3.6350729,-7.14680282
HU,3.36336148,2.440728425,-2.4697681,-2.6510432,-14.07551126,-14.06552285,-14.1748067,-14.1507129,-11.88512883,-13.056991,-11.09042444,-10.3108998,-11.1314161,-7.73783855,-6.354740325,-7.21849586,-7.28427058
DE,-3.50325978,0.57268966,-0.93729222,-8.95536842,-11.65050498,-7.1653859,-12.83282253,-9.420061825,-6.568116467,-14.52972504,-10.99677454,-15.32323408,-8.50728875,-7.394862175,-14.080524,-2.68364878,-7.51188312
India,0.7505952,-7.88588646,1.99133068,-26.22713408,-29.41838218,-27.7865993,-18.65031638,-23.94662816,-22.9896959,-21.41944106,-16.501514,-15.05578812,-14.40383892,-17.08264992,-9.8449977,-5.06749838,-7.63187492
AT,-3.25194366,-0.84359916,-6.41383218,-20.80215072,-19.75431526,-12.28496984,-14.50997807,-17.20999223,-9.7370804,-12.38817698,-13.52044292,-14.52429873,-13.97830515,-12.91880795,-12.6895351,-8.42576315,-7.73924728
RO,-0.17012372,5.16375368,-7.5576771,-5.26672212,-10.8303892,-15.18640548,-15.86462052,-23.7352002,-3.75903245,-11.81056496,-12.30040302,-9.38360464,-9.89651456,-9.2851183,-7.5210953,-8.359726925,-7.7942719
HR,0.43515934,1.290324,-1.07712688,-3.88802254,-9.51095504,-13.46316844,-17.2504834,-14.97492793,-14.70326393,-15.44173156,-12.52154638,-9.15839314,-11.84885024,-3.74367836,-5.1662346,-9.639675125,-8.12648955
QLD,-3.07564376,-7.27906545,-8.09803382,-7.97584152,-4.96668268,-7.854694825,-7.211736875,-5.42014474,-5.39952716,-4.348325,-10.68249348,-0.51708782,-6.11331306,-7.61774004,-2.665624725,-4.08981494,-8.31743832
CAL,12.79805384,14.05087962,13.48515896,0.27403178,-5.40167852,-0.35591994,-7.86980868,-4.58588108,-5.81021316,-4.05392628,-4.74829274,-3.42849116,-5.77827944,-1.67510186,-0.09415468,-2.9562063,-8.79181966
BG,0.6671581,6.6488123,-2.73726744,2.79817274,-4.20582542,-8.33925476,-18.70671085,-10.84068027,-0.421778867,-7.101710033,-10.64151486,-4.628364725,-13.05945448,-7.37057868,-3.3917615,-8.58248454,-8.97020488
UA,-3.8581674,-4.51502822,-13.0832598,-13.44606252,-14.85195858,-15.84582778,-15.5257965,-20.12615893,2.6797126,-15.46942955,-19.40829344,-17.80898696,-13.13418902,,-17.16147495,-10.84231918,-9.56913805
Volga,-0.61,0.82,-0.68,-0.52,-15.36,-11.28,-4.09,-8.09,2.25,-14.32,-15.08,-8.4,-12.91,-9.34,-9.85,-9.34,-9.85
SR,0.12962842,-3.97418154,-2.63455728,-22.5118014,-24.32658318,-28.58154714,-21.71048712,-21.91426232,-25.49751038,-20.3750967,-15.4411172,-14.58110508,-11.04778344,-9.91035114,-15.12008382,-9.92795398,-9.89547434
TAS,-4.04460082,-3.85421775,-10.06897618,0.03111708,6.44818076,7.707705275,3.029207525,6.5648759,-8.08131095,3.34191555,-0.56905932,-9.7279072,4.4865686,-3.92080152,6.443231975,-8.44626118,-11.40644284
South,-0.98,-0.05,-0.45,2.26,-7.96,-11.45,-3.29,-8.7,0.23,-3.07,-5.71,-5.73,-10.08,-18.99,-11.74,-18.99,-11.74
SI,3.92938118,0.159718425,-9.53863964,-5.65364656,-18.52424412,-21.82294754,-17.11013045,-19.9201017,-13.09819,-15.13595796,-11.05127494,-10.78687132,-16.63647942,-9.38066122,-13.70907772,-12.03742246,-12.28223993
WR,5.94499406,-5.47676316,8.03532942,-30.79302278,-36.8321823,-32.97582608,-23.42516356,-26.62030018,-25.13497293,-22.877609,-21.0116917,-19.29167496,-16.44360232,-22.19337058,-17.39652602,-15.10656124,-12.3572747
IT,0.54027962,-5.6943725,-21.17263914,-29.72328892,-33.50896994,-29.7616328,-28.40655213,-14.584304,-15.15488057,-14.7581215,-11.5394109,-10.69119998,-11.08468098,-15.24903647,-10.63722774,-16.24363842,-14.67596718
GB,-3.26861216,-2.3201707,0.52961608,-14.41526906,-13.37206502,-11.409244,-19.28728177,-20.04031948,-17.45342586,-16.09497343,-19.04366264,-15.34117828,-10.4004134,-11.99295212,-3.43763786,-14.66092158,-21.07852318
LV,-0.18964586,3.00470008,-2.44823752,-5.55529322,-6.7791289,,,,,,,,,,,,
