date_20,ccode,date_20,date_19,ratios,peak_2020,peak_2019,country,holiday,ISO,temp_19,temp_20,dates,adj_2020,adj_ratio,day_of_week
2021-01-04,FI,2021-01-04,2019-01-07,97.32795159808887,11550.2,11867.3,Finland,0,,1.3,-1.2,2021-01-04,11018.499416690856,0.9284756782664004,Monday
2021-01-05,FI,2021-01-05,2019-01-08,99.01823745916217,11971.8,12090.5,Finland,0,,0.4,-2.7,2021-01-05,11316.259751170222,0.9359629255341154,Tuesday
2021-01-06,FI,2021-01-06,2019-01-09,94.34321413464352,11597.8,12293.2,Finland,1,,-1.9,-2.7,2021-01-06,11430.347847675892,0.929810614622384,Wednesday
2021-01-07,FI,2021-01-07,2019-01-10,93.112351654599,11792.4,12664.7,Finland,0,,-3.9,-0.7,2021-01-07,12460.714468934202,0.9838933783614456,Thursday
2021-01-08,FI,2021-01-08,2019-01-11,97.74915864183131,11734.2,12004.4,Finland,0,,1.3,-2.6,2021-01-08,10908.043784253443,0.9086704695156312,Friday
2021-01-04,FLA,2021-01-04,2019-01-07,101.12229540223619,21927.81818181818,21684.454545454544,US,0,,16.275,12.95,2021-01-04,20090.265038548496,0.9264823791825458,Monday
2021-01-05,FLA,2021-01-05,2019-01-08,115.90986372315659,24171.0,20853.272727272728,US,0,,18.075,12.4,2021-01-05,21708.863654015564,1.0410290959089534,Tuesday
2021-01-06,FLA,2021-01-06,2019-01-09,118.1830953144001,24472.818181818184,20707.545454545456,US,0,,17.1,12.325,2021-01-06,21920.33002477209,1.0585672779465236,Wednesday
2021-01-07,FLA,2021-01-07,2019-01-10,95.56762122488269,23105.818181818184,24177.454545454544,US,0,,10.65,14.55,2021-01-07,26815.432587506373,1.1091090063717142,Thursday
2021-01-08,FLA,2021-01-08,2019-01-11,81.88331878586476,21235.545454545456,25933.90909090909,US,0,,12.35,15.3,2021-01-08,23320.494400024018,0.8992278918799333,Friday
2021-01-04,FR,2021-01-04,2019-01-07,105.0040156799044,81191.1,77321.9,France,0,,7.3,3.1,2021-01-04,72295.33897178307,0.934991754881645,Monday
2021-01-05,FR,2021-01-05,2019-01-08,110.2054703666366,83081.7,75388.0,France,0,,8.4,3.1,2021-01-05,71928.45060476167,0.9541100785902488,Tuesday
2021-01-06,FR,2021-01-06,2019-01-09,107.17145817145816,82757.8,77220.0,France,0,,5.2,3.6,2021-01-06,79350.16656979566,1.0275856846645386,Wednesday
2021-01-07,FR,2021-01-07,2019-01-10,102.40804331013149,82758.5,80812.5,France,0,,3.9,3.3,2021-01-07,81484.1223946979,1.0083108726335397,Thursday
2021-01-08,FR,2021-01-08,2019-01-11,103.44516955347292,82220.6,79482.3,France,0,,6.2,2.9,2021-01-08,75208.49604965892,0.9462294881962264,Friday
2021-01-04,GB,2021-01-04,2019-01-07,,,43575.6,UK,0,,9.2,3.8,2021-01-04,,,Monday
2021-01-05,GB,2021-01-05,2019-01-08,,,44598.1,UK,0,,7.1,3.2,2021-01-05,,,Tuesday
2021-01-06,GB,2021-01-06,2019-01-09,,,46866.0,UK,0,,4.2,3.2,2021-01-06,,,Wednesday
2021-01-07,GB,2021-01-07,2019-01-10,,,44485.95,UK,0,,3.3,-0.1,2021-01-07,,,Thursday
2021-01-08,GB,2021-01-08,2019-01-11,,,45109.95,UK,0,,7.5,0.3,2021-01-08,,,Friday
